time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-11-17T16:22:57.820Z,38.7971649,-122.8079987,2.08,2.81,md,51,35,,0.07,nc,nc73483376,2020-11-18T05:44:33.383Z,"5km WNW of The Geysers, CA",earthquake,0.16,0.22,0.13,39,automatic,nc,nc
2020-11-17T15:46:21.319Z,-36.1962,-71.58,103.75,4.1,ml,,100,0.452,0.57,us,us7000cg5s,2020-11-17T16:25:49.040Z,"22 km ESE of Parral, Chile",earthquake,5.6,7.1,0.052,48,reviewed,us,us
2020-11-17T13:09:54.477Z,22.4941,-107.6468,10,4.1,mb,,234,4.7,0.66,us,us7000cg3m,2020-11-17T14:41:09.040Z,"151 km WSW of Mazatlán, Mexico",earthquake,8.1,2,0.076,53,reviewed,us,us
2020-11-17T12:13:04.550Z,2.8676,95.7975,26.44,4.3,mb,,152,2.61,0.45,us,us7000cg3e,2020-11-17T13:29:45.040Z,"77 km WNW of Sinabang, Indonesia",earthquake,10.8,6.5,0.106,25,reviewed,us,us
2020-11-17T11:55:18.145Z,25.4195,142.4577,40.98,4.6,mb,,137,1.687,0.62,us,us7000cg3a,2020-11-17T12:16:40.040Z,"Volcano Islands, Japan region",earthquake,12.3,3.7,0.075,53,reviewed,us,us
2020-11-17T11:36:31.220Z,18.1566,-68.3695,92,3.55,md,15,228,0.3575,0.48,pr,pr2020322012,2020-11-17T13:58:46.040Z,"35 km SE of Boca de Yuma, Dominican Republic",earthquake,4.61,2.09,0.19,12,reviewed,pr,pr
2020-11-17T11:16:11.703Z,64.3591,-149.7909,14.1,3,ml,,,,0.83,ak,ak020espoyyb,2020-11-17T14:34:28.040Z,"29 km W of Anderson, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-11-17T09:02:11.280Z,19.2141,-66.3728,48,3.34,md,4,311,0.9475,0.31,pr,pr2020322011,2020-11-17T09:34:50.180Z,"82 km N of Brenas, Puerto Rico",earthquake,5.33,15,0.03,2,reviewed,pr,pr
2020-11-17T07:57:16.651Z,57.8316,-156.606,139.8,2.8,ml,,,,0.73,ak,ak020esnk1c6,2020-11-17T11:57:16.040Z,"59 km NE of Ugashik, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-11-17T07:46:57.366Z,52.5839,-167.3161,42.66,4.3,mb,,169,1.001,1.27,us,us7000cg1d,2020-11-17T11:45:00.040Z,"111 km ESE of Nikolski, Alaska",earthquake,9.3,10.4,0.046,134,reviewed,us,us
2020-11-17T07:43:44.350Z,40.7506667,-125.803,27.42,2.94,md,27,266,1.149,0.21,nc,nc73483236,2020-11-17T14:50:05.542Z,"131km W of Ferndale, CA",earthquake,1.24,15.29,0.106,19,reviewed,nc,nc
